time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-06-23T19:35:52.893Z,17.3441,-94.6505,141.92,4.7,mb,,110,2.629,0.88,us,us600044wk,2019-06-23T20:17:15.040Z,"41km ESE of Jesus Carranza, Mexico",earthquake,8.9,8,0.031,317,reviewed,us,us
2019-06-23T18:42:08.069Z,-22.3843,-178.9264,503.76,4.9,mb,,102,5.418,0.8,us,us600044we,2019-06-23T19:00:15.040Z,"193km S of Ndoi Island, Fiji",earthquake,10.3,7.3,0.067,71,reviewed,us,us
2019-06-23T18:35:13.085Z,68.5216,-146.5674,0,3.1,ml,,,,0.75,ak,ak019802fpu6,2019-06-23T18:43:31.041Z,"61km NW of Arctic Village, Alaska",earthquake,,0.5,,,automatic,ak,ak
2019-06-23T17:09:23.320Z,-21.9945,-70.3962,35.6,4.6,mb,,141,0.599,1.15,us,us600044vy,2019-06-23T17:20:50.040Z,"23km WNW of Tocopilla, Chile",earthquake,4.6,8.5,0.173,10,reviewed,us,us
2019-06-23T16:51:59.950Z,34.4488,45.5738,10,4.7,mb,,86,0.677,0.61,us,us600044vv,2019-06-23T18:09:52.040Z,"26km W of Sarpol-e Zahab, Iran",earthquake,2.8,1.9,0.047,137,reviewed,us,us
2019-06-23T15:42:27.975Z,7.3323,-81.2216,5.49,4.6,mb,,141,2.053,0.71,us,us600044vi,2019-06-23T17:23:38.040Z,"72km S of Rio de Jesus, Panama",earthquake,5.5,6.4,0.046,141,reviewed,us,us
2019-06-23T15:06:59.490Z,19.4608326,-155.3961639,10.23,2.68,ml,13,273,0.1272,0.11,hv,hv71006341,2019-06-23T15:12:39.350Z,"16km WNW of Volcano, Hawaii",earthquake,3.7,1.39,2.69,23,automatic,hv,hv
2019-06-23T13:23:09.145Z,-16.3867,177.5182,10,4.7,mb,,55,1.444,0.74,us,us600044uz,2019-06-23T14:04:51.040Z,"136km N of Lautoka, Fiji",earthquake,10.8,1.9,0.077,51,reviewed,us,us
2019-06-23T13:03:37.875Z,52.3194,-174.1257,174.2,3.1,ml,,124,0.126,0.23,us,us600044vw,2019-06-23T17:22:21.040Z,"14km NNE of Atka, Alaska",earthquake,7,3.6,0.097,14,reviewed,us,us
2019-06-23T11:29:17.640Z,18.8006,-68.4725,124,3.28,md,7,185,0.8669,0.47,pr,pr2019174023,2019-06-23T16:39:31.390Z,"25km NNW of Punta Cana, Dominican Republic",earthquake,8.32,3.67,0.28,7,reviewed,pr,pr
2019-06-23T10:46:02.237Z,-5.6236,103.8254,56.26,4.6,mb,,70,1.524,0.54,us,us600044u8,2019-06-23T11:52:30.040Z,"39km SW of Biha, Indonesia",earthquake,4.4,6.5,0.103,28,reviewed,us,us
2019-06-23T10:38:44.947Z,-6.8728,129.3386,155.76,4.5,mb,,83,2.234,0.91,us,us600044u1,2019-06-23T11:03:12.040Z,"248km WNW of Saumlaki, Indonesia",earthquake,7,12.1,0.18,9,reviewed,us,us
2019-06-23T10:17:35.960Z,35.9625015,-120.5248337,10.33,2.55,md,47,133,0.022,0.07,nc,nc73201246,2019-06-23T14:21:02.879Z,"11km NW of Parkfield, CA",earthquake,0.2,0.17,0.2,51,automatic,nc,nc
2019-06-23T09:26:13.000Z,19.171,-66.5181,21,2.9,md,18,278,0.694,0.39,pr,pr2019174011,2019-06-23T10:10:13.230Z,"78km N of Tierras Nuevas Poniente, Puerto Rico",earthquake,1.43,25.95,0.38,16,reviewed,pr,pr
2019-06-23T09:08:46.010Z,19.0425,-68.3411,75,3.32,md,15,179,0.8825,0.66,pr,pr2019174019,2019-06-23T14:11:24.932Z,"51km N of Punta Cana, Dominican Republic",earthquake,5.16,4.43,0.3,15,reviewed,pr,pr
2019-06-23T08:50:15.320Z,19.4419994,-155.4276733,6.91,2.72,ml,57,30,0.06431,0.22,hv,hv71005956,2019-06-23T09:28:03.040Z,"19km W of Volcano, Hawaii",earthquake,0.35,0.68,2.6,36,automatic,hv,hv
2019-06-23T08:00:02.640Z,19.3926,-65.9811,28,2.7,md,14,312,1.0672,0.35,pr,pr2019174015,2019-06-23T14:09:39.324Z,"103km N of San Juan, Puerto Rico",earthquake,1.73,22.21,0.27,10,reviewed,pr,pr
2019-06-23T07:50:34.640Z,19.1881,-66.5008,23,2.75,md,9,300,0.7116,0.33,pr,pr2019174013,2019-06-23T14:08:54.363Z,"80km N of Tierras Nuevas Poniente, Puerto Rico",earthquake,1.79,24.21,0.21,5,reviewed,pr,pr
2019-06-23T07:24:04.050Z,19.194,-66.507,20,2.75,md,15,280,0.7173,0.28,pr,pr2019174012,2019-06-23T14:08:36.484Z,"81km N of Tierras Nuevas Poniente, Puerto Rico",earthquake,1.13,23.37,0.4,13,reviewed,pr,pr
