rank,country,GDP PCAP (2017),GDP PCAP (2018)
1,Luxembourg,"113,954.40","105,863.20"
2,Switzerland,"83,583.00","80,637.40"
3,Norway,"82,372.40","75,389.50"
4,Macao SAR,"81,585.40","77,111.00"
5,Iceland,"75,699.60","70,248.30"
6,Ireland,"75,192.30","68,710.80"
7,Qatar,"67,818.30","61,024.80"
8,United States,"62,517.50","59,792.00"
9,Singapore,"61,230.20","57,713.30"
10,Denmark,"61,227.00","56,630.60"
11,Australia,"56,698.10","55,692.70"
12,Sweden,"53,867.20","52,925.10"
13,Netherlands,"52,931.20","48,555.40"
14,Austria,"51,707.60","47,347.40"
15,San Marino,"50,903.50","47,595.10"
16,Finland,"50,068.10","45,927.50"
17,Germany,"48,669.60","44,769.20"
18,Hong Kong SAR,"48,231.30","46,080.50"
19,Belgium,"46,978.70","43,488.50"
20,Canada,"46,733.00","45,094.60"
21,France,"42,930.80","39,932.70"
22,United Kingdom,"42,260.90","39,800.30"
23,New Zealand,"41,615.90","41,572.30"
24,United Arab Emirates,"41,476.30","37,732.70"
25,Israel,"41,179.80","40,273.00"
26,Japan,"40,105.80","38,448.60"
27,Italy,"34,349.20","31,997.00"
28,The Bahamas,"34,333.00","32,660.60"
29,Brunei Darussalam,"33,824.10","28,278.40"
30,Korea,"32,046.00","29,938.50"
31,Puerto Rico,"32,004.10","31,581.40"
32,Kuwait,"31,915.50","27,393.90"
33,Spain,"31,059.50","28,358.80"
34,Malta,"30,555.30","27,326.70"
35,Cyprus,"27,864.50","25,380.50"
36,Slovenia,"26,586.10","23,654.40"
37,Bahrain,"26,531.80","24,325.80"
38,Taiwan Province of China,"25,534.30","24,292.10"
39,Aruba,"24,881.50","24,371.20"
40,Saudi Arabia,"23,186.70","21,096.40"
41,Portugal,"23,175.80","21,159.00"
42,Czech Republic,"23,085.20","20,401.60"
43,Estonia,"22,416.70","19,735.40"
44,Greece,"20,311.00","18,637.30"
45,Slovak Republic,"19,642.10","17,655.10"
46,Oman,"19,170.40","17,128.40"
47,Lithuania,"18,856.90","16,730.60"
48,Barbados,"18,366.00","17,757.60"
49,St. Kitts and Nevis,"17,961.40","17,397.20"
50,Latvia,"17,634.40","15,550.40"
51,Antigua and Barbuda,"17,476.70","16,702.50"
52,Uruguay,"17,379.70","16,941.60"
53,Trinidad and Tobago,"16,930.90","16,637.70"
54,Seychelles,"16,376.80","15,859.40"
55,Palau,"16,267.50","15,980.20"
56,Chile,"16,143.40","15,067.70"
57,Hungary,"16,016.00","14,209.40"
58,Panama,"15,877.50","15,089.40"
59,Equatorial Guinea,"15,294.30","14,817.80"
60,Croatia,"14,637.50","13,271.40"
61,Poland,"14,468.80","13,821.20"
62,Maldives,"13,151.90","12,527.20"
63,Lebanon,"12,453.70","12,013.40"
64,Romania,"12,189.50","10,786.00"
65,Costa Rica,"12,095.00","11,728.60"
66,Grenada,"11,031.90","10,405.30"
67,Mauritius,"11,014.90","10,504.50"
68,Russia,"10,950.50","10,955.80"
69,Malaysia,"10,703.60","9,755.20"
70,Argentina,"10,667.10","14,462.90"
71,St. Lucia,"10,042.10","9,607.00"
72,Kazakhstan,"9,977.40","8,762.20"
73,China,"9,633.10","8,643.10"
74,Mexico,"9,614.30","9,318.80"
75,Brazil,"9,126.90","9,895.80"
76,Bulgaria,"9,080.30","8,077.00"
77,Nauru,"9,037.10","8,574.70"
78,Turkey,"8,715.50","10,537.20"
79,Montenegro,"8,644.30","7,678.40"
80,Gabon,"8,384.70","7,373.10"
81,Botswana,"8,168.00","7,584.50"
82,Dominican Republic,"7,891.30","7,477.60"
83,St. Vincent and the Grenadines,"7,505.60","7,124.40"
84,Turkmenistan,"7,411.90","6,642.50"
85,Peru,"7,118.40","6,731.90"
86,Thailand,"7,084.50","6,590.60"
87,Dominica,"6,860.10","7,879.10"
88,Serbia,"6,814.80","5,901.20"
89,Colombia,"6,761.20","6,379.60"
90,Libya,"6,638.60","4,739.90"
91,South Africa,"6,560.00","6,179.90"
92,Suriname,"6,506.00","5,869.50"
93,Ecuador,"6,301.10","6,216.60"
94,Belarus,"6,020.00","5,727.40"
95,FYR Macedonia,"5,953.30","5,474.40"
96,Paraguay,"5,933.80","5,600.10"
97,Namibia,"5,923.50","5,589.50"
98,Fiji,"5,876.60","5,527.50"
99,Iraq,"5,793.50","4,950.30"
100,Bosnia and Herzegovina,"5,703.90","5,180.80"
101,Jamaica,"5,393.40","5,193.40"
102,Albania,"5,260.90","4,544.90"
103,Islamic Republic of Iran,"5,222.00","5,289.80"
104,Belize,"4,830.00","4,806.50"
105,Tonga,"4,650.30","4,520.90"
106,Guyana,"4,648.70","4,578.20"
107,Azerbaijan,"4,586.80","4,140.70"
108,Guatemala,"4,582.70","4,469.50"
109,Georgia,"4,505.80","4,085.80"
110,Algeria,"4,449.80","4,033.90"
111,Samoa,"4,402.80","4,258.30"
112,Kosovo,"4,324.00","3,944.10"
113,Sri Lanka,"4,265.30","4,073.30"
114,Jordan,"4,227.50","4,135.60"
115,Armenia,"4,190.20","3,857.20"
116,Marshall Islands,"4,113.50","4,040.30"
117,Mongolia,"4,097.80","3,639.90"
118,Tuvalu,"4,096.30","3,688.70"
119,Eswatini,"4,092.90","3,850.60"
120,El Salvador,"4,041.00","3,894.70"
121,Angola,"3,924.40","4,465.70"
122,Indonesia,"3,789.00","3,875.80"
123,Bolivia,"3,719.30","3,412.80"
124,Cabo Verde,"3,622.20","3,301.00"
125,Tunisia,"3,573.40","3,464.70"
126,Morocco,"3,355.40","3,136.90"
127,Vanuatu,"3,327.80","3,094.00"
128,Venezuela,"3,300.40","6,890.10"
129,Micronesia,"3,277.30","3,202.80"
130,Moldova,"3,226.70","2,694.50"
131,Bhutan,"3,211.30","2,990.90"
132,Philippines,"3,099.30","2,988.90"
133,Ukraine,"2,964.20","2,656.00"
134,Honduras,"2,829.00","2,766.30"
135,Lao P.D.R.,"2,690.20","2,540.80"
136,Egypt,"2,572.40","2,495.00"
137,Republic of Congo,"2,571.70","2,005.30"
138,Vietnam,"2,552.80","2,353.40"
139,Timor-Leste,"2,485.90","2,237.00"
140,Papua New Guinea,"2,464.70","2,401.60"
141,Solomon Islands,"2,270.80","2,114.70"
142,Nicaragua,"2,126.60","2,220.70"
143,Djibouti,"2,084.90","1,988.80"
144,São Tomé and Príncipe,"2,068.80","1,846.70"
145,Nigeria,"2,050.20","1,994.70"
146,India,"2,016.20","1,976.10"
147,Kenya,"1,865.20","1,695.40"
148,Côte d'Ivoire,"1,791.40","1,621.40"
149,Ghana,"1,786.70","1,662.60"
150,Kiribati,"1,749.70","1,721.90"
151,Bangladesh,"1,736.30","1,602.60"
152,Cameroon,"1,545.00","1,441.40"
153,Pakistan,"1,527.20","1,545.90"
154,Senegal,"1,485.40","1,331.30"
155,Cambodia,"1,485.30","1,379.30"
156,Lesotho,"1,465.60","1,360.60"
157,Zambia,"1,450.40","1,491.20"
158,Myanmar,"1,354.20","1,278.10"
159,Uzbekistan,"1,326.00","1,520.10"
160,Mauritania,"1,310.00","1,271.30"
161,Zimbabwe,"1,268.90","1,185.30"
162,Kyrgyz Republic,"1,254.10","1,207.80"
163,Eritrea,"1,111.60",979.7
164,Tanzania,"1,090.10","1,034.20"
165,Nepal,970.7,848.1
166,Yemen,925.6,"1,043.10"
167,Benin,923.3,831.1
168,Mali,891.9,813.3
169,Ethiopia,890.6,872.8
170,Chad,889.6,810.2
171,Comoros,877.2,787.9
172,Haiti,874,783.8
173,Guinea,865.3,790.3
174,Guinea-Bissau,851.5,793.6
175,Tajikistan,807.1,800.8
176,Rwanda,800.2,771.7
177,Sudan,791.9,"1,123.50"
178,The Gambia,739.9,704.7
179,Burkina Faso,734,654.9
180,Uganda,717.5,706.5
181,Togo,668.4,611.1
182,Liberia,663,694.2
183,Afghanistan,565.4,569.5
184,Sierra Leone,495.9,487.6
