x,y
1,0
2,0.6931471806
3,1.098612289
4,1.386294361
5,1.609437912
6,1.791759469
7,1.945910149
8,2.079441542
9,2.197224577
10,2.302585093
11,2.397895273
12,2.48490665
13,2.564949357
14,2.63905733
15,2.708050201
16,2.772588722
17,2.833213344
18,2.890371758
19,2.944438979
20,2.995732274
21,3.044522438
22,3.091042453
23,3.135494216
24,3.17805383
25,3.218875825
26,3.258096538
27,3.295836866
28,3.33220451
29,3.36729583
30,3.401197382
31,3.433987204
32,3.465735903
33,3.496507561
34,3.526360525
35,3.555348061
36,3.583518938
37,3.610917913
38,3.63758616
39,3.663561646
40,3.688879454
41,3.713572067
42,3.737669618
43,3.761200116
44,3.784189634
45,3.80666249
46,3.828641396
47,3.850147602
48,3.871201011
49,3.891820298
50,3.912023005
51,3.931825633
52,3.951243719
53,3.970291914
54,3.988984047
55,4.007333185
56,4.025351691
57,4.043051268
58,4.060443011
59,4.077537444
60,4.094344562
61,4.110873864
62,4.127134385
63,4.143134726
64,4.158883083
65,4.17438727
66,4.189654742
67,4.204692619
68,4.219507705
69,4.234106505
70,4.248495242
71,4.262679877
72,4.276666119
73,4.290459441
74,4.304065093
75,4.317488114
76,4.33073334
77,4.343805422
78,4.356708827
79,4.369447852
80,4.382026635
81,4.394449155
82,4.406719247
83,4.418840608
84,4.430816799
85,4.442651256
86,4.454347296
87,4.465908119
88,4.477336814
89,4.48863637
90,4.49980967
91,4.510859507
92,4.521788577
93,4.532599493
94,4.543294782
95,4.553876892
96,4.564348191
97,4.574710979
98,4.584967479
99,4.59511985
100,4.605170186
